"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
10956,1640477163164x709775704719360000,"Jonathan Taylor",SGC,1102118,2020,Donruss,TR-JT,Base,"SGC 9.5 ",Football,
10956,1653101923482x465767195263914200,"Jonathan Taylor",SGC,1102118,2020,Donruss,317,Base,"SGC 9.5 ",Football,
13365,,"Luis Robert",SGC,1253574,2020,"Topps Chrome",60,"Sepia Refractor","SGC 9.5",,
13365,1654016582994x251091101829165730,"Luis Robert",SGC,1253574,2020,"Topps Chrome",60,"Sepia Refractor","SGC 9.5",,66.88
11038,,"Jonathan Taylor",SGC,1274585,2020,Donruss,317,,"SGC 9.5",Football,
11038,1653101923482x465767195263914200,"Jonathan Taylor",SGC,1274585,2020,Donruss,317,Base,"SGC 9.5",Football,
10981,1649190399198x724623604478902300,"Joe Burrow",SGC,1364528,2020,Select,146,Base,"SGC 10",Football,61.20
10981,1646353630020x112551499659739140,"Joe Burrow",SGC,1364528,2020,Select,346,Base,"SGC 10",Football,104.10
10981,1653271899640x164476139396890980,"Joe Burrow",SGC,1364528,2020,Select,T20,Base,"SGC 10",Football,61.00
11031,,"Jonathan Taylor",SGC,1435556,2020,Donruss,317,,"SGC 9.5",Football,
11031,1653101923482x465767195263914200,"Jonathan Taylor",SGC,1435556,2020,Donruss,317,Base,"SGC 9.5",Football,
10995,,"Justin Herbert",SGC,1442604,2020,Select,,"Purple Die Cut","SGC 9",Football,
10995,1653517981680x326541587731496600,"Justin Herbert",SGC,1442604,2020,Select,144,"Purple Die-Cut","SGC 9",Football,23.50
10962,,"Joe Burrow",SGC,1554233,2020,Select,,Turbocharged,"SGC 9.5 ",Football,
10962,1653271899640x164476139396890980,"Joe Burrow",SGC,1554233,2020,Select,T20,Base,"SGC 9.5 ",Football,
10989,,"Justin Herbert",SGC,1604736,2020,Select,,"Light Blue Die Cut","SGC 9",Football,
10989,1653517982945x331207140919947500,"Justin Herbert",SGC,1604736,2020,Select,144,"Light Blue Die-Cut","SGC 9",Football,
10960,1621302914541x476737360444522500,"Obi Toppin",SGC,1627568,2020,Prizm,280,Base,"SGC 9","Basketball ",8.50
10960,1653181406474x954027643742711800,"Obi Toppin",SGC,1627568,2020,Prizm,15,Base,"SGC 9","Basketball ",6.00
10967,1640477163164x709775704719360000,"Jonathan Taylor",SGC,1753153,2020,Donruss,TR-JT,Base,"SGC 9.5 ",Football,
10967,1653101923482x465767195263914200,"Jonathan Taylor",SGC,1753153,2020,Donruss,317,Base,"SGC 9.5 ",Football,
11023,,"Jonathan Taylor",SGC,2206836,2020,Donruss,317,,"SGC 9.5",Football,
11023,1653101923482x465767195263914200,"Jonathan Taylor",SGC,2206836,2020,Donruss,317,Base,"SGC 9.5",Football,
10994,,"Justin Jefferson ",SGC,2358667,2020,Select,,,"SGC 9.5 ",Football,
10994,1653924030522x720279544283147100,"Justin Jefferson ",SGC,2358667,2020,Select,SCR-9,Base,"SGC 9.5 ",Football,
10994,1653924031565x511011809585026240,"Justin Jefferson ",SGC,2358667,2020,Select,161,Base,"SGC 9.5 ",Football,
11027,,"Jonathan Taylor",SGC,2411526,2020,Donruss,317,,"SGC 9",Football,
11027,1653101923482x465767195263914200,"Jonathan Taylor",SGC,2411526,2020,Donruss,317,Base,"SGC 9",Football,
11047,,"Coby White",SGC,2446126,2019,Optic,180,"Hyper Pink","SGC 9.5","Basketball ",
11047,1652670507339x928888169162448900,"Coby White",SGC,2446126,2019,Optic,180,"Hyper Pink","SGC 9.5","Basketball ",30.00
11044,,"Joe Burrow",SGC,2548861,2020,Donruss,301,,"SGC 9.5",Football,
11044,1610342967982x121391615306366980,"Joe Burrow",SGC,2548861,2020,Donruss,301,Base,"SGC 9.5",Football,52.75
11046,,"Coby White",SGC,2553151,2019,Optic,180,"Hyper Pink","SGC 9","Basketball ",
11046,1652670507339x928888169162448900,"Coby White",SGC,2553151,2019,Optic,180,"Hyper Pink","SGC 9","Basketball ",19.50
10979,,"Justin Herbert",SGC,2642318,2020,Chronicles,,"Playoff Momentum","SGC 9",Football,
10979,1653517982330x726377978645503700,"Justin Herbert",SGC,2642318,2020,Chronicles,3,Base,"SGC 9",Football,
10958,,"Kevin Durant",SGC,2727328,2020,Prizm,,"Red Ice","SGC 9","Basketball ",
10958,1653932592994x150413260196043520,"Kevin Durant",SGC,2727328,2020,Prizm,81,"Red Ice","SGC 9","Basketball ",
11026,,"Jonathan Taylor",SGC,2730863,2020,Donruss,317,,"SGC 9",Football,
11026,1653101923482x465767195263914200,"Jonathan Taylor",SGC,2730863,2020,Donruss,317,Base,"SGC 9",Football,
11002,,"James Wiseman",SGC,2768316,2020,Prizm,,"Instant Impact Silver","SGC 10","Basketball ",
11002,1653181391272x133712816810260140,"James Wiseman",SGC,2768316,2020,Prizm,11,"Prizms Silver","SGC 10","Basketball ",
10990,1620354000751x363118473683927000,"Justin Herbert",SGC,2788441,2020,Select,144,"Silver Prizm","SGC 9",Football,63.00
10990,1653228474225x574378705076879360,"Justin Herbert",SGC,2788441,2020,Select,SCR-4,"Silver Prizm","SGC 9",Football,33.00
10976,,"Cam Akers",SGC,2800785,2020,Illusions,,"Pink /399","SGC 10",Football,
10976,1652543669999x557622138256219700,"Cam Akers",SGC,2800785,2020,Illusions,16,"Trophy Collection Pink","SGC 10",Football,
10972,1608764119860x470646539335363400,"Joe Burrow",SGC,3025370,2020,"Absolute ",KJB1,Base,"SGC 9.5 ",Football,
10972,1608764116764x410619346751629250,"Joe Burrow",SGC,3025370,2020,"Absolute ",KJB2,Base,"SGC 9.5 ",Football,
10972,1652928695766x147254535477483230,"Joe Burrow",SGC,3025370,2020,"Absolute ",IJB,Base,"SGC 9.5 ",Football,
10972,1653275223149x693745075085452400,"Joe Burrow",SGC,3025370,2020,"Absolute ",158,Base,"SGC 9.5 ",Football,
10957,,"Jonathan Taylor",SGC,3067481,2020,Donruss,,Canvas,"SGC 9.5 ",Football,
10957,1653447319001x716472860766170800,"Jonathan Taylor",SGC,3067481,2020,Donruss,317,Canvas,"SGC 9.5 ",Football,
11039,,"Jonathan Taylor",SGC,3076354,2020,Donruss,317,,"SGC 9",Football,
11039,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3076354,2020,Donruss,317,Base,"SGC 9",Football,
10961,1640477163164x709775704719360000,"Jonathan Taylor",SGC,3176700,2020,Donruss,TR-JT,Base,"SGC 9",Football,
10961,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3176700,2020,Donruss,317,Base,"SGC 9",Football,
10968,1640477163164x709775704719360000,"Jonathan Taylor",SGC,3178186,2020,Donruss,TR-JT,Base,"SGC 8.5",Football,
10968,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3178186,2020,Donruss,317,Base,"SGC 8.5",Football,
10969,1640477163164x709775704719360000,"Jonathan Taylor",SGC,3238557,2020,Donruss,TR-JT,Base,"SGC 7.5",Football,
10969,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3238557,2020,Donruss,317,Base,"SGC 7.5",Football,
13388,1620915892857x251380006022536640,"Michael Jordan",SGC,3382584,1994,"Upper Deck",38,"1986 63-point game","SGC 7.5",,
13388,1620915971713x943988471269754600,"Michael Jordan",SGC,3382584,1994,"Upper Deck",38,Jumbo,"SGC 7.5",,
11037,,"Jonathan Taylor",SGC,3422447,2020,Donruss,317,,"SGC 8.5",Football,
11037,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3422447,2020,Donruss,317,Base,"SGC 8.5",Football,
11042,,"Jonathan Taylor",SGC,3424880,2020,Donruss,317,,"SGC 10",Football,
11042,1653101923482x465767195263914200,"Jonathan Taylor",SGC,3424880,2020,Donruss,317,Base,"SGC 10",Football,
11016,,"Jalen Hurts",SGC,3488376,2020,Select,,"White Die Cut","SGC 9",Football,
11016,1653018103626x431750199743863300,"Jalen Hurts",SGC,3488376,2020,Select,350,"White Die-Cut","SGC 9",Football,
11040,1601704810980x700526451682967600,"Joe Burrow",SGC,3621585,2020,Mosaic,261,Base,"SGC 9.5",Football,34.18
11040,1601704203589x347111213883981800,"Joe Burrow",SGC,3621585,2020,Mosaic,261,Mosaic,"SGC 9.5",Football,
11040,1604388570886x403659810613231600,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Silver Prizm","SGC 9.5",Football,69.50
11040,1604413008540x764575630511046700,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Camo Pink","SGC 9.5",Football,57.77
11040,1604414110261x526821318643679200,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Green","SGC 9.5",Football,26.00
11040,1615179470735x939613926359261000,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Pink Fluorescent","SGC 9.5",Football,
11040,1615179471658x850323645006297900,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Purple","SGC 9.5",Football,
11040,1615179475781x604273726662625900,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Blue","SGC 9.5",Football,
11040,1615179476570x511736991508551900,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Choice Fusion Red","SGC 9.5",Football,
11040,1615179478777x390757579943426000,"Joe Burrow",SGC,3621585,2020,Mosaic,261,"Mosaic Orange Fluorescent","SGC 9.5",Football,
11010,,"Obi Toppin",SGC,3702730,2020,Prizm,,"Instant Impact","SGC 10","Basketball ",
