"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
13389,,"Shaquille Oneal",SGC,220513,1992,"Upper Deck",18,"Trade Card","SGC A",,
13367,,"Wander Franco",SGC,258624,2019,"Topps Heritage Minors",FOS-1,"Fresh on Scene","SGC 9",,
13368,,"Wander Franco",SGC,864125,2019,"Topps Heritage Minors",190,base,"SGC 10",,
11012,1625198307959x839054591130337300,"Justin Herbert",SGC,1326603,2020,Chronicles,PB-3,"Silver Prizm","SGC 10",Football,413.00
11017,,"Joshua Kelley",SGC,1487601,2020,Spectra,,"Neon Purple RPA /35","SGC 9.5 ",Football,
13391,1636859873328x858222579409357200,"Anthony Edwards",SGC,1544711,2020,Donruss,201,Base,"SGC 9.5",,14.50
10973,,"Najee Harris",SGC,1812715,2021,"Prizm DP",,,"SGC 10",Football,
10966,,"Zion Williamson ",SGC,2030574,2020,Prizm,,"Ruby Wave","SGC 10","Basketball ",
11009,,Suicune,SGC,2135284,2011,Pokemon,,"Shining Holo","SGC 4",Pokemon,
13364,,"Ronald Acuna Jr",SGC,2703445,2019,"Topps Chrome",84TC-24,"84 topps design","SGC 8",,
10970,1633207847322x108886586905230220,"Eloy Jimenez",SGC,2862361,2020,"Topps Chrome",134,Base,"SGC 9",Baseball,
13362,,"Wander Franco",SGC,3108831,2019,"Topps Heritage Minors",190,base,"SGC 10",,
12117,1587765822525x926354810331463700,"Dennis Rodman",PSA,3190374,1988,Fleer,43,Base,"PSA 8",basketball,38.02
10975,,"Justin jefferson ",SGC,3787486,2020,Prizm,,"Orange Disco","SGC 9",Football,
13363,,"Wander Franco",SGC,4155721,2019,"Topps Heritage Minors",190,base,"SGC 9.5",,
11008,1646192512124x760631405634577200,"Patrick Mahomes II",SGC,4256037,2020,Select,202,Purple-Die-Cut,"SGC 9.5 ",Football,
11049,1600656500967x111335881628739760,"Magic Johnson",SGC,4335313,2012,Prizm,181,Base,"SGC 9","Basketball ",34.55
11045,1592491834422x527880762802307100,"Tyler Herro",SGC,4510232,2019,Prizm,259,Base,"SGC 9","Basketball ",5.50
10999,,"Jalen Hurts",SGC,4612102,2020,"Absolute ",,Retail,"SGC 9",Football,
10959,,"Zion Williamson ",SGC,4644226,2020,Prizm,,"Ruby Wave","SGC 9","Basketball ",
11050,1585892029604x723586526067556400,"Zion WIlliamson",SGC,4655418,2019,Prizm,248,Base,"SGC 9.5","Basketball ",67.75
13384,1600460492832x567054047182912200,"Michael Jordan",SGC,4861768,1989,Fleer,21,Base,"SGC 6.5",,12.09
10971,,"Charizard Holo",SGC,5847147,2016,"Pokemon Evolutions",,,"SGC 9",Pokemon,
11004,1640828848423x502809754825654300,"Justin Herbert",SGC,6111814,2020,Select,244,Base,"SGC 10",Football,51.00
10965,,"Zion Williamson ",SGC,6163036,2020,Prizm,,"Ruby Wave","SGC 10","Basketball ",
10987,,"Tom Brady",SGC,6183454,2020,Select,,"Purple Die Cut","SGC 9",Football,
10974,1633207847322x108886586905230220,"Eloy Jimenez",SGC,6236866,2020,"Topps Chrome",134,Base,"SGC 10",Baseball,
10517,1645057342956x245242419432197380,"RJ Barrett",SGC,6365547,2019,Chronicles,68,Base,"SGC 9","Basketball ",
11052,1585892029604x723586526067556400,"Zion WIlliamson",SGC,6588720,2019,Prizm,248,Base,"SGC 9.5","Basketball ",67.75
11020,,Raikou,SGC,6724406,2010,Pokemon,,,"SGC 2",Pokemon,
10984,1640828848423x502809754825654300,"Justin Herbert",SGC,6873658,2020,Select,244,Base,"SGC 10",Football,51.00
13385,1615054078449x789990643990528000,"Michael Jordan",SGC,7054736,1994,"Topps Finest",331,Base,"SGC 7.5",,85.00
13387,,"Zion Williamson",SGC,7110825,2020,Donruss,5,"Zero Gravity","SGC 9 ",,
10997,,"chase claypool",SGC,7204357,2020,Origins,,"RPA /75","SGC 9",Football,
11014,1646192512124x760631405634577200,"Patrick Mahomes II",SGC,7386806,2020,Select,202,Purple-Die-Cut,"SGC 10",Football,
11051,1585892029604x723586526067556400,"Zion WIlliamson",SGC,7454586,2019,Prizm,248,Base,"SGC 10","Basketball ",115.50
11011,,Burrow/Jefferson,SGC,7588020,2020,Contenders,,"Round Numbers","SGC 9.5 ",Football,
11007,1640828848423x502809754825654300,"Justin Herbert",SGC,7884516,2020,Select,244,Base,"SGC 9.5 ",Football,
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
11018,,"Fernando Tatis Jr",SGC,8262732,2019,Prizm,,"Red Prizm AUto","SGC 9",Baseball,
10996,,"Tom Brady",SGC,8706313,2020,Select,,"White Die Cut","SGC 9",Football,
13366,,"Wander Franco",SGC,8835145,2019,"Topps Heritage Minors",FF-2,"Fantastic Feats","SGC 10",,
10992,,"chase claypool",SGC,8860160,2020,Illusions,,"Bronze /499","SGC 10",Football,
12118,1649639146993x600915109587177500,"Horace Grant",PSA,15495354,1988,Fleer,16,Base,"PSA 9",basketball,24.99
12509,1649639015833x976805057591919600,"Isiah Thomas",PSA,27780852,1988,Fleer,45,Base,"PSA 8",Basketball,8.00
12508,1649639015833x976805057591919600,"Isiah Thomas",PSA,28456932,1988,Fleer,45,Base,"PSA 8",Basketball,8.00
11053,1585892029604x723586526067556400,"Zion WIlliamson",PSA,46499385,2019,Prizm,248,Base,"PSA 9","Basketball ",57.50
12041,1606834027057x159337862545801200,"Michael Jordan",PSA,47110806,1988,Fleer,120,Base,"PSA 7",basketball,98.99
12042,1606834027057x159337862545801200,"Michael Jordan",PSA,50642626,1988,Fleer,120,Base,"PSA 8",basketball,163.50
12043,1606834027057x159337862545801200,"Michael Jordan",PSA,50642627,1988,Fleer,120,Base,"PSA 8",basketball,163.50
12424,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717169,2018,"Topps Archives",212,Base,"PSA 10",Baseball,79.50
12429,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717170,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12430,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717173,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12425,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717174,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12431,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717175,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12426,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717176,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12427,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717177,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
12428,1617487014419x398015398218563600,"Ronald Acuna Jr",PSA,51717178,2018,"Topps Archives",212,Base,"PSA 9",Baseball,34.99
10934,1609908129172x622395498321228800,"Luis Robert",PSA,51717228,2020,Bowman,18,Base,"PSA 10","Baseball ",11.23
12660,1649637707828x952230585428798700,"Julius Erving",PSA,52171101,1987,Fleer,35,Base,"PSA 7",Basketball,27.00
12662,1649637707828x952230585428798700,"Julius Erving",PSA,52171103,1987,Fleer,35,Base,"PSA 8",Basketball,18.05
12661,1649637707828x952230585428798700,"Julius Erving",PSA,52171105,1987,Fleer,35,Base,"PSA 8",Basketball,18.05
